Name,ID
reagent (UBERON),CHEBI:33893
aldohexose (UBERON),CHEBI:33917
macronutrient (UBERON),CHEBI:33937
serotonin(1+) (UBERON),CHEBI:350546
nitrogen hydride (UBERON),CHEBI:35106
azane (UBERON),CHEBI:35107
"(6'R)-beta,epsilon-carotene (UBERON)",CHEBI:35147
"(6'S)-beta,epsilon-carotene (UBERON)",CHEBI:35148
elemental calcium (UBERON),CHEBI:35155
calcium salt (UBERON),CHEBI:35156
cyclic carotene (UBERON),CHEBI:35163
terpene (UBERON),CHEBI:35186
sesquiterpene (UBERON),CHEBI:35189
triterpene (UBERON),CHEBI:35191
tetraterpene (UBERON),CHEBI:35193
inhibitor (UBERON),CHEBI:35222
catalyst (UBERON),CHEBI:35223
amino-acid zwitterion (UBERON),CHEBI:35238
quaternary ammonium ion (UBERON),CHEBI:35267
ammonium ion derivative (UBERON),CHEBI:35274
onium betaine (UBERON),CHEBI:35281
ammonium betaine (UBERON),CHEBI:35284
acylcholine (UBERON),CHEBI:35287
steroid (UBERON),CHEBI:35341
17beta-hydroxy steroid (UBERON),CHEBI:35343
21-hydroxy steroid (UBERON),CHEBI:35344
11beta-hydroxy steroid (UBERON),CHEBI:35346
hydroxy steroid (UBERON),CHEBI:35350
organonitrogen compound (UBERON),CHEBI:35352
fatty acid (UBERON),CHEBI:35366
monosaccharide (UBERON),CHEBI:35381
oxoanion (UBERON),CHEBI:35406
central nervous system drug (UBERON),CHEBI:35470
anti-inflammatory drug (UBERON),CHEBI:35472
alkali metal salt (UBERON),CHEBI:35479
central nervous system depressant (UBERON),CHEBI:35488
natural product fundamental parent (UBERON),CHEBI:35507
steroid fundamental parent (UBERON),CHEBI:35508
androstane (UBERON),CHEBI:35509
cholane (UBERON),CHEBI:35519
beta-adrenergic agonist (UBERON),CHEBI:35522
bronchodilator agent (UBERON),CHEBI:35523
sympathomimetic agent (UBERON),CHEBI:35524
cardiovascular drug (UBERON),CHEBI:35554
alpha-adrenergic agonist (UBERON),CHEBI:35569
carbon oxoanion (UBERON),CHEBI:35604
carbon oxoacid (UBERON),CHEBI:35605
vasodilator agent (UBERON),CHEBI:35620
anticonvulsant (UBERON),CHEBI:35623
dicarboxylic acid (UBERON),CHEBI:35692
dicarboxylic acid anion (UBERON),CHEBI:35693
ester (UBERON),CHEBI:35701
sulfated glycosaminoglycan (UBERON),CHEBI:35722
carbohydrate sulfate (UBERON),CHEBI:35724
liposaccharide (UBERON),CHEBI:35740
monocarboxylic acid anion (UBERON),CHEBI:35757
phosphate ion (UBERON),CHEBI:35780
phosphosphingolipid (UBERON),CHEBI:35786
oxo steroid (UBERON),CHEBI:35789
tetrapyrrole fundamental parent (UBERON),CHEBI:35794
pnictogen hydride (UBERON),CHEBI:35881
neurotransmitter agent (UBERON),CHEBI:35942
cholanoid (UBERON),CHEBI:36078
protein (UBERON),PR:000000001
bile acid anion (UBERON),CHEBI:36235
cholanic acid (UBERON),CHEBI:36237
5beta-cholanic acid (UBERON),CHEBI:36238
5beta-cholanic acids (UBERON),CHEBI:36248
bile acid salt (UBERON),CHEBI:36277
