Class ID,Preferred Label,Synonyms,Definitions
RID11423,motion related artifact,,
RID11424,smearing,,
RID11426,ghost,,
RID11434,macroscopic motion artifact,,
RID11435,microscopic motion artifact,,
RID11436,within-view motion artifact,,
RID11437,between-view motion artifact,,
RID11438,flow-related artifact,,
RID11439,laminar flow artifact,,
RID11440,flow separation with recirculation zones,,
RID11441,turbulent flow artifact,,
RID11443,time of flight artifact,,
RID11445,entry of unsaturated spins into volume,,
RID11450,exit of excited spins from volume,,
RID11451,flow-induced (within-view) phase changes,,
RID11452,intravoxel dephasing,,
RID11455,view-to-view intensity error,,
RID11456,even echo rephrasing,,
RID11457,diastolic pseudogating,,
RID11458,flow-related ghost artifact,,
RID11459,quadrature imbalance artifact,,
RID11460,stimulated echo ghost artifact,,
RID11461,gradient digitization error artifact,,
RID11462,N/2 ghost artifact,,
RID11463,segmented K-space ghost artifact,,
RID11464,parallel imaging artifact,,
RID11465,half field-of-view ghost artifact,,
RID11466,image center noise,,
RID11467,edge or boundary artifact,,
RID11468,bounce point artifact,,
RID11469,motion shear contour artifact,,
RID11470,truncation artifact,,
RID11478,edge blurring artifact,,
RID11479,edge smearing artifact,,
RID11480,edge enhancement artifact,,
RID11481,partial volume averaging,,
RID11483,partial volume averaging between slices,,
RID11484,partial volume averaging within slices,,
RID11485,magic angle artifact,,
RID11486,off-resonance effect,,
RID11487,banding artifact,,
RID11488,accentuation of pulsatile flow artifact,,
RID11489,saturation artifact,,
RID11491,slice cross talk artifact,,
RID11494,fine line artifact,,
RID11495,interventional outcome,,
RID11496,technical success,,
RID11497,anatomic success,,
RID11498,hemodynamic success,,
RID11499,clinical success,,
RID11500,complete clinical success,,
RID11501,partial clinical success,,
RID11502,technique effectiveness,,
RID11503,primary effectiveness,,
RID11504,secondary effectiveness,,
RID11506,patency,,
RID11507,primary patency,,
RID11508,assisted primary patency,,
RID11509,secondary patency,,
RID11510,therapeutic response,,
RID11511,complete imaging response,,
RID11512,residual disease,,
RID11513,partial response,,
RID11514,stable disease,,
RID11515,progressive disease,,
RID11518,same organ disease progression,,
RID11519,different organ disease progression,,
